feeder,seed,policy,energy_required_kwh,unmet_kwh,service_rate_percent,charging_cost,peak_load_kw,voltage_violation_rate_percent,transformer_violation_slots,projection_calls,projection_runtime_ms_total,projection_runtime_ms_mean,training_rounds,clients_per_round,update_precision_bits,estimated_training_bytes,relative_bytes
compact,20260615,fedavg_local_safe,4821.160722030299,163.31294908559977,96.61258027886643,871.0274512800289,216.04936567981898,0.0,0,672,757.3679154738784,1.1270355885027952,60.0,8.0,32.0,42240,0.6470588235294118
compact,20260615,fedavg_graph_safe,4821.160722030299,151.46753769168075,96.85827653495247,870.1863115893058,218.54167120855874,0.0,0,672,755.1506976597011,1.1237361572316982,60.0,8.0,32.0,65280,1.0
compact,20260615,grid_fedgat_no_guard,4821.160722030299,159.03676284213816,96.70127647652525,867.7287267542638,219.3174859422432,0.0,0,672,764.2324473708868,1.1372506657304864,1.0,8.0,32.0,5984,0.09166666666666666
compact,20260615,grid_fedgat_pilot,4821.160722030299,82.38612250033098,98.29115585954503,849.4425517108431,215.65869140745102,0.0,0,672,801.1330575682223,1.1921622880479499,1.0,8.0,32.0,5984,0.09166666666666666
nominal,20260611,uncontrolled,4500.191175906002,0.0,100.0,1114.3028659208337,247.29626389757996,2.659970238095238,0,0,0.0,0.0,,,,0,0.0
nominal,20260611,edf_safe,4500.191175906002,238.695797343999,94.69587428591979,880.7882472680442,194.81304285944844,0.0,0,672,1267.1872731298208,1.8856953469193762,,,,0,0.0
nominal,20260611,fedavg_local_safe,4500.191175906002,477.6566270118307,89.38585921484399,807.9538540040483,193.62830640246025,0.0,0,672,1113.4557761251926,1.6569282382815367,60.0,8.0,32.0,42240,0.6470588235294118
nominal,20260611,fedavg_graph_safe,4500.191175906002,444.99181927715836,90.11171299433585,816.3599942266874,197.96672955231514,0.0,0,672,1147.982229012996,1.7083068884121964,60.0,8.0,32.0,65280,1.0
nominal,20260611,grid_fedgat_no_guard,4500.191175906002,487.9807717954345,89.15644352159791,801.3661255171376,194.29969778008785,0.0,0,672,1138.7984566390514,1.694640560474779,1.0,8.0,32.0,5984,0.09166666666666666
nominal,20260611,grid_fedgat_pilot,4500.191175906002,391.9856096192394,91.28957872461223,807.4948146496045,194.19979833910907,0.0,0,672,1126.197858247906,1.675889670011765,1.0,8.0,32.0,5984,0.09166666666666666
nominal,20260612,uncontrolled,4333.6385104469155,0.0,100.0,1025.2438854115308,238.66256160080303,3.0319940476190474,0,0,0.0,0.0,,,,0,0.0
nominal,20260612,edf_safe,4333.6385104469155,273.033296041632,93.69967533324612,827.6414496661314,184.72559127244668,0.0,0,672,1273.04373588413,1.8944103212561458,,,,0,0.0
nominal,20260612,fedavg_local_safe,4333.6385104469155,602.394107685359,86.09957645906105,747.2383535728633,195.28488926935705,0.0,0,672,1171.1862171068788,1.742836632599522,60.0,8.0,32.0,42240,0.6470588235294118
nominal,20260612,fedavg_graph_safe,4333.6385104469155,580.5034734645384,86.60470936684858,750.1041941759313,198.8506759426905,0.0,0,672,1182.0038398727775,1.7589342855249666,60.0,8.0,32.0,65280,1.0
nominal,20260612,grid_fedgat_no_guard,4333.6385104469155,624.5077407456351,85.58929778660216,736.8286856743578,197.35180506290055,0.0,0,672,1162.0990284718573,1.7293140304640733,1.0,8.0,32.0,5984,0.09166666666666666
nominal,20260612,grid_fedgat_pilot,4333.6385104469155,482.8447236000097,88.85821412108932,739.6219988005128,189.91222201814128,0.0,0,672,1164.6107472479343,1.733051707214188,1.0,8.0,32.0,5984,0.09166666666666666
nominal,20260613,uncontrolled,4872.757998559619,0.0,100.0,1092.8378198531739,260.0562283225444,3.050595238095238,0,0,0.0,0.0,,,,0,0.0
nominal,20260613,edf_safe,4872.757998559619,453.10530644766305,90.70125570402634,886.935033132502,190.66852914809465,0.0,0,672,1264.556450303644,1.8817804319994702,,,,0,0.0
